319.557    2.0156
329.726    5.3316
333.638    8.2575
336.767    9.883
339.896    13.0689
345.372    16.8401
346.936    19.5709
353.977    21.9116
357.888    24.1222
364.928    26.2029
370.404    28.3485
375.88    29.844
379.791    31.7945
386.832    33.5501
394.654    35.5007
400.13    36.8661
409.518    38.0364
417.34    39.1417
427.51    40.052
438.462    40.8322
450.978    41.6775
461.93    41.9376
470.535    41.6775
477.575    41.2874
483.833    40.9623
490.091    40.8973
494.785    40.6372
502.608    40.1821
508.083    39.7919
511.995    39.4018
515.906    38.8817
522.164    38.5566
526.858    37.7763
533.898    36.9961
540.939    36.0858
546.415    35.1756
554.237    34.0052
561.278    32.9649
569.1    31.9246
579.27    30.6242
584.746    29.7789
592.568    28.8687
601.173    27.8934
608.996    26.8531
615.254    26.0078
621.512    25.0975
628.553    24.3823
633.246    23.407
640.287    22.1717
648.892    21.0013
660.626    19.6359
670.013    18.5956
680.183    17.6203
691.917    16.71
703.651    15.6047
713.038    14.8244
722.425    13.9142
731.812    13.264
741.982    12.4187
753.716    11.7685
765.45    10.6632
777.966    9.8179
788.918    9.1027
795.958    8.7126
806.128    8.0624
817.862    7.4122
831.16    6.762
840.548    6.1118
856.193    5.3966
871.056    4.8765
882.79    4.1612
892.177    3.6411
897.653    3.381
